employee_key,employee_name,gender,hire_date
1,Grant Frey,M,2018-02-24
2,Elizabeth George,F,2020-08-08
3,Olivia Mcdaniel,F,2020-05-30
4,James Barrett,M,2015-09-20
5,Michelle Beard,F,2015-05-07
6,Bryan Brennan,M,2021-07-03
7,Alexander Conrad,M,2020-05-16
8,Joshua Petersen,M,2015-05-15
9,Noah Bray,M,2017-08-15
10,Yvonne Jones,F,2018-02-01
11,Thomas West,M,2019-03-12
12,Lisa Washington,F,2019-01-27
13,Connie Smith,F,2019-02-02
14,Danny Lucas,M,2018-03-15
15,Jill Duncan,F,2021-11-02
16,Katrina Fletcher,F,2018-11-18
17,Darrell Hickman III,M,2019-01-27
18,Paula Martinez,F,2023-09-03
19,Tyler Wolfe,M,2023-06-18
20,Kimberly Ellis,M,2021-04-18
21,Mary Nelson,M,2016-06-24
22,Sandra Harris,F,2015-10-19
23,Rachel Powell,M,2015-05-20
24,Jill Espinoza,F,2019-05-26
25,Cassandra Johnson DDS,M,2017-12-18
26,Jasmine Shields,M,2021-06-09
27,Ruben Howe,M,2018-01-09
28,Tyler Schultz,M,2023-02-21
29,Melanie Fields,M,2020-03-26
30,Whitney Mcdowell,M,2016-05-25
31,Timothy Manning,M,2019-08-04
32,Alexis Woods,M,2023-12-15
33,Dr. Greg Patel DDS,M,2023-06-19
34,Helen Thompson,F,2016-01-16
35,Robert Wallace,M,2022-04-23
36,Andrew Wolfe,M,2015-05-08
37,Jeffrey Castro,M,2020-10-20
38,Nicole Crane,M,2021-04-05
39,Heather Dawson,M,2016-03-17
40,Fernando Braun,M,2021-06-26
41,Stephen Smith,M,2023-04-10
42,Holly Carroll,M,2016-03-17
43,Sandra Nunez,F,2020-08-08
44,Jennifer Rodgers,F,2015-11-08
45,Aaron Leonard,M,2022-04-15
46,Monica Green,M,2019-05-24
47,Lisa Sanchez,F,2015-10-31
48,Michelle Sanders,F,2015-08-13
49,Tyler Chandler,M,2018-01-06
50,Rhonda Moody,M,2018-05-04
51,Joseph Berger,M,2020-09-16
52,Matthew Mayer,M,2018-10-10
53,Diane Griffin,M,2020-10-30
54,Emily Harmon,M,2019-08-31
55,Elizabeth Moore,F,2018-03-13
56,Kevin Thomas,M,2019-10-26
57,Albert Guerrero,M,2020-06-20
58,Judy Richardson,M,2022-01-19
59,Kevin Pittman,M,2015-12-12
60,Maria Jones,M,2023-06-26
61,Tiffany Dunn,M,2018-04-15
62,Robin Ballard,M,2017-09-23
63,Jose Velasquez,M,2020-04-28
64,Joseph Vazquez,M,2016-03-31
65,Brandon Ryan,M,2021-08-04
66,Sheila Larsen,M,2017-12-22
67,Michael Wilcox,M,2020-05-27
68,Danny Hayes,M,2016-06-19
69,Sandra Myers,F,2020-02-01
70,Crystal Booth,M,2022-03-01
71,Michael Orr,M,2017-10-08
72,Joseph Martinez,M,2021-05-19
73,Shawn Jennings,M,2016-11-03
74,Heather Baker,M,2021-10-17
75,John Hunter,M,2021-05-09
76,Charles Scott,M,2020-11-09
77,Terri Lopez,M,2015-05-12
78,Martin Johnson,M,2020-03-21
79,Joshua Mccarty,M,2021-06-29
80,Dwayne Jackson,M,2023-07-24
81,Eric Greene,M,2023-07-20
82,Thomas Jennings,M,2017-03-27
83,Megan Patterson,M,2021-12-18
84,Brandon Brewer,M,2022-05-23
85,Victoria Marks,M,2023-12-10
86,Raymond Rodriguez,M,2017-05-22
87,Natasha Lewis,M,2016-10-19
88,Rebecca Fox,M,2019-09-24
89,Rodney Hoffman,M,2022-12-01
90,Brandon Barnes,M,2023-11-29
91,John Contreras,M,2022-08-14
92,Kurt Barton,M,2019-06-22
93,Ryan Newman,M,2018-10-12
94,Dwayne Wood,M,2023-02-06
95,Linda Mcpherson,M,2015-08-02
96,Susan Rivera,M,2021-06-11
97,Christopher Bradley,M,2022-04-12
98,Pamela Mendez,M,2015-10-15
99,Jonathon Collins,M,2016-06-26
100,Stephanie Jones,M,2023-05-07
101,Joe Hayes,M,2023-01-10
102,James Jones,M,2016-07-10
103,Kelly Gregory,M,2018-10-15
104,Rachel Hodge,M,2015-06-23
105,Erik Johnson,M,2016-12-06
106,Bradley Moore,M,2015-12-16
107,Alicia Werner,M,2015-12-22
108,Suzanne Morse,M,2022-03-19
109,Andrea Ruiz,M,2020-07-05
110,Evan Diaz,M,2018-07-18
111,Jonathan Oneal,M,2015-08-15
112,Zachary Garcia,M,2015-11-03
113,Alexis Moore,M,2021-01-24
114,Daniel Lozano,M,2018-08-06
115,Benjamin Sawyer,M,2016-01-07
116,Tiffany Howard,M,2023-11-09
117,Michael Schultz,M,2016-06-28
118,Susan Martinez,M,2021-07-30
119,Mr. David Waters,M,2016-02-19
120,Deanna Carlson,M,2023-03-20
121,Jeffrey Knox,M,2018-06-26
122,Jennifer Williams,F,2023-08-14
123,Kevin Hansen,M,2019-03-30
124,Troy Norris,M,2021-07-19
125,Wendy Henry,M,2018-04-15
126,Kathy Bullock,M,2015-10-03
127,Mrs. Brittany Nguyen,M,2023-11-08
128,Christopher Smith,M,2022-10-19
129,Matthew Clark,M,2016-02-05
130,Darryl Ward,M,2022-04-18
131,Brittany Allen,M,2021-03-29
132,Kevin Fitzgerald,M,2022-02-11
133,Desiree Heath,M,2015-09-19
134,Christina Campbell,M,2017-10-30
135,Faith Stewart,M,2016-09-26
136,Eric Lyons,M,2022-06-29
137,Jennifer Hatfield,F,2015-05-03
138,Samantha Williams,M,2021-03-14
139,David Allen,M,2020-01-31
140,Ryan Gomez,M,2016-12-16
141,Bruce Sanders,M,2017-12-23
142,Jennifer Young,F,2023-03-09
143,Angela Holder,M,2019-03-19
144,Eric Hutchinson,M,2022-08-14
145,Jeffrey Snow,M,2015-07-15
146,Michael Daniels,M,2015-10-31
147,Carol Williams,M,2018-07-01
148,Alyssa Nguyen,M,2017-09-07
149,Brian Williams,M,2022-11-04
150,Nathaniel Tyler,M,2019-09-28
151,Elizabeth Johnson,F,2018-11-07
152,Shannon Mitchell,M,2021-11-04
153,Kimberly Oneal,M,2021-07-13
154,Jennifer Pitts DDS,F,2020-02-24
155,Blake Wright,M,2016-04-01
156,Robert Roberts,M,2021-07-03
157,Wesley Phillips,M,2021-11-01
158,Shawn Johnson,M,2016-04-05
159,Steven Miller,M,2023-12-27
160,Jamie Reese,M,2021-04-09
161,Amanda Lucero,M,2021-01-01
162,Samantha Rhodes,M,2023-11-23
163,Christine Wu,M,2016-03-08
164,Lisa Caldwell,F,2018-06-17
165,Jenny Martinez,M,2022-09-17
166,Courtney Wood,M,2019-08-01
167,Denise Fuentes,M,2016-02-23
168,Michelle Jenkins,F,2023-06-25
169,Brooke Martin,M,2015-12-18
170,Patrick Harris,M,2023-03-15
171,Martha Werner,M,2017-01-20
172,Dylan Rodriguez,M,2022-08-12
